 1. Budget for the action,All Years,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year 1,Unnamed: 6,Unnamed: 7,Unnamed: 8
Costs,Unit,# of units,"Unit value
(in EUR)","Total Cost
(in EUR)",Unit,# of units,"Unit value
(in EUR)","Total Cost
(in EUR)"
1. Human Resources,,,,,,,,
2. This section must be completed if the action is to be implemented over more than one reporting period (usually 12 months).,,,,,,,,
3. The budget may be established in euro or in the currency of the country of the contracting authority. Costs/contributions and unit values are rounded to the nearest euro.,,,,,,,,
"4. If staff are not working full time on the action, the percentage should be indicated alongside the description of the item and reflected in the number of units (not the unit value).",,,,,,,,
"5. Indicate the country where the per diems are incurred.
Per diems are not considered a simplified cost option for the purposes of Union financing when the grant beneficiary reimburses a fixed amount to its staff according to its internal rules and asks for the reimbursement of that same amount in the action budget. Such per diems are considered to be an actual cost. ",,,,,,,,
"6. Costs for C02 offsetting of air travel may be included. C02 offsetting shall in that case be achieved by supporting CDM/Gold Standard projects (evidence must be included as part of the supporting documents) or through airplane company programmes when available.  Indicate the place of departure and the destination. If information is not available, enter a global amount.",,,,,,,,
7. Please separate cost for purchase or rental.,,,,,,,,
8. Specify the typology of costs or services. Global amounts will not be accepted.,,,,,,,,
9. Only indicate here when fully subcontracted.,,,,,,,,
"10. As a rule, partners are not requested to implement communication activities for the purpose of promoting the action and/or the EU. Only if specifically requested by and agreed with the contracting authority, communication activities should be properly planned and budgeted at each stage of the project implementation. ",,,,,,,,
"11. Only to be filled in when provided for in the Call for Proposal (i.e. taxes are not eligible and the beneficiary(ies) can show they cannot reclaim them). Please see glossary of terms (Annex A 1) of the Practical Guide to contract procedures for EU external actions for the definition of taxes. Please note that direct taxes are not included (such as taxes on salary of staff working for the action which are part of the gross salary). Note: Where the Call for Proposal does not exclude the coverage of taxes and the beneficiary can show it cannot reclaim, taxes may be eligible and should be included in each relevant heading. Taxes that can be reclaimed are not considered as eligible nor accepted costs.",,,,,,,,
"12. Only to be filled in when contributions in kind may be accepted as co-financing. The amount indicated must be identical to the one indicated in worksheet 3 ""expected sources of funding"". This line doesn't include contributions in kind in the form of volunteers' work that have to be presented in budget line 10.2.",,,,,,,,
13. Ensure consistency with FSTP in the Description of the Action.,,,,,,,,
"14. If accepted and subsequently provided for in Art. 7.1 of the Special Conditions, costs actually incurred in relation to a project office used for the action or a portion of these costs can be declared as direct eligible costs by applying a cost apportionment approach.
Examples of possible cost distribution keys are:
- the number of staff assigned to the action as a percentage of the maximum total number of staff that could work in the project office;
- the office space occupied for the purpose of the action as a percentage of the total available office space.                                                                                                                                                                                                                                                                                                              A description of the project office, the services or resources it makes available, its overall capacity (where applicable), the costs to be apportioned and the proposed distribution key have to be included in the proposal. 
The proposed cost apportionment approach has to be presented as an annex to the budget. The budgeted amount of the costs for which apportionment is proposed has to be indicated in the column ""TOTAL COSTS"" and ""APPORTIONMENT"" has to be indicated in the column ""units"". The proposed cost apportionment approach will be assessed by the evaluation committee and the contracting authority. If the proposed cost apportionment approach is not accepted, there are two options: 1) adjust the distribution key in line with the conclusions of the evaluation committee;  2) exclude the costs from the budget. 

",,,,,,,,
"15.Include here the costs of the volunteers' work if this type of contribution in kind is allowed. Volunteers’ work shall be declared as eligible cost, but set aside of the direct costs as the calculation of  indirect costs does not apply. Volunteers' work may comprise up to 50 % of all sources of financing, that is the Union grant, in-kind contributions and other sources of financing. It shall be declared as unit cost as defined and authorised by the European Commission at the following address: https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/common/guidance/unit-cost-decision-volunteers_en.pdf.",,,,,,,,
"16. Visibility is strictly defined as acknowledging the origin of the EU funding through the coherent and prominent display of the EU emblem and funding statement, where appropriate. For more information, see the 2022 guidelines on “Communicating and raising EU visibility: Guidance for external actions”. Any costs necessary to ensure compliance with contractual visibility requirements should be minimal and factored into the budget foreseen for the relevant objectives and activities of the action. A separate budget for visibility costs is not eligible.",,,,,,,,
NB: The Beneficiary(ies) alone is/are responsible for the correctness of the financial information provided in these tables.,,,,,,,,
